datetime,latitude,longitude
250102.1850,33.01,-87.138
250102.1850,33.014,-87.139
250102.1850,33.028,-83.601
250102.1850,33.031,-83.601
250102.1850,33.068,-86.203
250102.1850,33.071,-86.204
250102.1850,33.072,-86.2
250102.1850,33.075,-86.205
250102.1850,33.076,-86.197
250102.1850,33.077,-86.192
250102.1850,33.077,-85.64
250102.1850,33.078,-101.094
250102.1850,33.092,-86.802
250102.1850,33.094,-84.587
250102.1850,33.12,-84.841
250102.1850,33.122,-84.846
250102.1850,33.137,-94.665
250102.1850,33.146,-86.83
250102.1850,33.152,-83.034
250102.1850,33.155,-83.164
250102.1850,33.155,-83.04
250102.1850,33.156,-83.161
250102.1850,33.158,-86.66
250102.1850,33.159,-83.165
250102.1850,33.159,-83.16
250102.1850,33.16,-83.161
250102.1850,33.188,-82.705
250102.1850,33.203,-82.95
250102.1850,33.226,-82.039
250102.1850,33.229,-87.512
250102.1850,33.23,-82.687
250102.1850,33.234,-82.688
250102.1850,33.235,-86.849
250102.1850,33.236,-86.845
250102.1850,33.294,-81.218
250102.1850,33.307,-89.338
250102.1850,33.336,-85.78
250102.1850,33.345,-83.227
250102.1850,33.349,-86.56
250102.1850,33.439,-88.569
250102.1850,33.481,-82.933
250102.1850,33.489,-80.727
250102.1850,33.498,-88.836
250102.1850,33.509,-89.129
250102.1850,33.512,-85.172
250102.1850,33.518,-81.482
250102.1850,33.522,-81.486
250102.1850,33.535,-80.663
250102.1850,33.538,-80.661
250102.1850,33.579,-81.219
250102.1850,33.579,-81.215
250102.1850,33.58,-80.853
250102.1850,33.61,-80.762
250102.1850,33.614,-80.762
250102.1850,33.625,-84.908
250102.1850,33.632,-97.45
250102.1850,33.633,-97.446
250102.1850,33.671,-83.432
250102.1850,33.696,-82.751
250102.1850,33.699,-80.47
250102.1850,33.703,-80.475
250102.1850,33.81,-82.657
250102.1850,33.814,-82.657
250102.1850,33.818,-82.658
250102.1850,33.863,-87.178
250102.1850,33.885,-87.657
250102.1850,33.888,-87.662
250102.1850,33.888,-87.658
250102.1850,33.889,-87.654
250102.1850,33.891,-87.663
250102.1850,33.914,-89.134
250102.1850,34.016,-86.447
250102.1850,34.027,-80.88
250102.1850,34.028,-80.871
250102.1850,34.047,-87.425
250102.1850,34.049,-83.35
250102.1850,34.051,-87.421
250102.1850,34.078,-83.074
250102.1850,34.079,-82.112
250102.1850,34.106,-86.782
250102.1850,34.229,-86.782
250102.1850,34.257,-83.232
250102.1850,34.279,-80.321
250102.1850,34.422,-85.764
250102.1850,34.454,-83.047
